thres	recall	precision	correct	recognized	all
thres:0.622429	0.797883	0.352287	correct:6332.000000	recognized:17974.000000	all:7936.000000
thres:0.633161	0.791079	0.352895	correct:6278.000000	recognized:17790.000000	all:7936.000000
thres:0.643892	0.784904	0.355354	correct:6229.000000	recognized:17529.000000	all:7936.000000
thres:0.654624	0.779864	0.356468	correct:6189.000000	recognized:17362.000000	all:7936.000000
thres:0.665355	0.774950	0.357891	correct:6150.000000	recognized:17184.000000	all:7936.000000
thres:0.676087	0.765751	0.360289	correct:6077.000000	recognized:16867.000000	all:7936.000000
thres:0.686818	0.758821	0.360426	correct:6022.000000	recognized:16708.000000	all:7936.000000
thres:0.697550	0.753402	0.361291	correct:5979.000000	recognized:16549.000000	all:7936.000000
thres:0.708281	0.745590	0.361675	correct:5917.000000	recognized:16360.000000	all:7936.000000
thres:0.719013	0.739667	0.363040	correct:5870.000000	recognized:16169.000000	all:7936.000000
thres:0.729744	0.728579	0.363465	correct:5782.000000	recognized:15908.000000	all:7936.000000
thres:0.740476	0.720388	0.365117	correct:5717.000000	recognized:15658.000000	all:7936.000000
thres:0.751207	0.711694	0.365070	correct:5648.000000	recognized:15471.000000	all:7936.000000
thres:0.761939	0.704007	0.365785	correct:5587.000000	recognized:15274.000000	all:7936.000000
thres:0.772670	0.697833	0.366391	correct:5538.000000	recognized:15115.000000	all:7936.000000
thres:0.783402	0.690272	0.376650	correct:5478.000000	recognized:14544.000000	all:7936.000000
thres:0.794134	0.683090	0.377166	correct:5421.000000	recognized:14373.000000	all:7936.000000
thres:0.804865	0.677797	0.378510	correct:5379.000000	recognized:14211.000000	all:7936.000000
thres:0.815597	0.670867	0.380966	correct:5324.000000	recognized:13975.000000	all:7936.000000
thres:0.826328	0.664315	0.384257	correct:5272.000000	recognized:13720.000000	all:7936.000000
thres:0.837060	0.654864	0.386279	correct:5197.000000	recognized:13454.000000	all:7936.000000
thres:0.847791	0.647429	0.386490	correct:5138.000000	recognized:13294.000000	all:7936.000000
thres:0.858523	0.641129	0.386891	correct:5088.000000	recognized:13151.000000	all:7936.000000
thres:0.869254	0.632182	0.386072	correct:5017.000000	recognized:12995.000000	all:7936.000000
thres:0.879986	0.626512	0.387077	correct:4972.000000	recognized:12845.000000	all:7936.000000
thres:0.890717	0.619708	0.389329	correct:4918.000000	recognized:12632.000000	all:7936.000000
thres:0.901449	0.613155	0.391000	correct:4866.000000	recognized:12445.000000	all:7936.000000
thres:0.912180	0.608367	0.392106	correct:4828.000000	recognized:12313.000000	all:7936.000000
thres:0.922912	0.602319	0.392898	correct:4780.000000	recognized:12166.000000	all:7936.000000
thres:0.933643	0.592742	0.392720	correct:4704.000000	recognized:11978.000000	all:7936.000000
thres:0.944375	0.583543	0.393893	correct:4631.000000	recognized:11757.000000	all:7936.000000
thres:0.955107	0.576865	0.393942	correct:4578.000000	recognized:11621.000000	all:7936.000000
thres:0.965838	0.569304	0.394447	correct:4518.000000	recognized:11454.000000	all:7936.000000
thres:0.976570	0.562122	0.394639	correct:4461.000000	recognized:11304.000000	all:7936.000000
thres:0.987301	0.554561	0.394779	correct:4401.000000	recognized:11148.000000	all:7936.000000
thres:0.998033	0.547505	0.396840	correct:4345.000000	recognized:10949.000000	all:7936.000000
thres:1.008764	0.539315	0.398436	correct:4280.000000	recognized:10742.000000	all:7936.000000
thres:1.019496	0.533014	0.401252	correct:4230.000000	recognized:10542.000000	all:7936.000000
thres:1.030227	0.527470	0.401882	correct:4186.000000	recognized:10416.000000	all:7936.000000
thres:1.040959	0.519783	0.401812	correct:4125.000000	recognized:10266.000000	all:7936.000000
thres:1.051690	0.512475	0.402753	correct:4067.000000	recognized:10098.000000	all:7936.000000
thres:1.062422	0.507434	0.403831	correct:4027.000000	recognized:9972.000000	all:7936.000000
thres:1.073153	0.501260	0.405339	correct:3978.000000	recognized:9814.000000	all:7936.000000
thres:1.083885	0.496220	0.406273	correct:3938.000000	recognized:9693.000000	all:7936.000000
thres:1.094617	0.489667	0.407338	correct:3886.000000	recognized:9540.000000	all:7936.000000
thres:1.105348	0.483115	0.413905	correct:3834.000000	recognized:9263.000000	all:7936.000000
thres:1.116080	0.476815	0.415550	correct:3784.000000	recognized:9106.000000	all:7936.000000
thres:1.126811	0.469380	0.415829	correct:3725.000000	recognized:8958.000000	all:7936.000000
thres:1.137543	0.460181	0.415756	correct:3652.000000	recognized:8784.000000	all:7936.000000
thres:1.148274	0.452495	0.415433	correct:3591.000000	recognized:8644.000000	all:7936.000000
thres:1.159006	0.446951	0.417933	correct:3547.000000	recognized:8487.000000	all:7936.000000
thres:1.169737	0.441532	0.419842	correct:3504.000000	recognized:8346.000000	all:7936.000000
